experiment,weights,imgsz,conf,iou,precision,recall,mAP50,mAP50-95,params,GFLOPs,model_size_MB,speed_preprocess,speed_inference,speed_postprocess
dentex_v4_region_yolov8n_1280_full_b16,runs/detect/dentex_v4_region_full/dentex_v4_region_yolov8n_1280_full_b16_20260523_143152_1cfc9f5/weights/best.pt,1280,0.001,0.7,0.5984354076079815,0.6594236644903998,0.6652045218852111,0.4065406061702303,3006233,32.3493888,6.031717300415039,1.2268694975073375,1.5567793614334529,0.43435984897235086
dentex_v4_region_yolov8n_c2f_faster_lite_1280_full_b16,runs/detect/dentex_v4_region_c2f_faster_lite_full/dentex_v4_region_yolov8n_c2f_faster_lite_1280_full_b16_20260523_204914_87db6ce/weights/best.pt,1280,0.001,0.7,0.6194362203200919,0.6020872865275142,0.6592720422965039,0.3917858823133375,2602073,29.7639936,5.259622573852539,1.2449324722327884,1.0481977628337011,0.42755813116119024
