experiment,class_id,class_name,precision,recall,mAP50,mAP50-95
dentex_v4_region_yolov8n_1280_full_b16,0,Caries,0.4856624027418356,0.5677966101694916,0.5798659703058766,0.36530095529261847
dentex_v4_region_yolov8n_1280_full_b16,1,Periapical_Lesion,0.6144693619467599,0.571764705882353,0.5942607152110794,0.25726262394923255
dentex_v4_region_yolov8n_1280_full_b16,2,Impacted,0.695174458135349,0.8387096774193549,0.8214868801386772,0.5970582392688402
dentex_v4_region_yolov8n_c2f_faster_lite_1280_full_b16,0,Caries,0.524219074094918,0.5,0.5725027938265548,0.3719084606015965
dentex_v4_region_yolov8n_c2f_faster_lite_1280_full_b16,1,Periapical_Lesion,0.6990216973370612,0.43529411764705883,0.6000567336285056,0.2481883534150265
dentex_v4_region_yolov8n_c2f_faster_lite_1280_full_b16,2,Impacted,0.6350678895282964,0.8709677419354839,0.8052565994344514,0.5552608329233897
