experiment,class_id,class_name,precision,recall,mAP50,mAP50-95
dentex_v4_region_yolov8n_1280_quick_b16,0,Caries,0.5116155593475122,0.5,0.51552699966312,0.34278507033626976
dentex_v4_region_yolov8n_1280_quick_b16,1,Periapical_Lesion,0.6198744789415487,0.5811764705882353,0.6094947000538768,0.25230797450400805
dentex_v4_region_yolov8n_1280_quick_b16,2,Impacted,0.5759178300696541,0.9032258064516129,0.8185850117824085,0.5627222982349508
dentex_v4_region_yolov8n_c2f_faster_lite_1280_quick_b16,0,Caries,0.4827933666870029,0.6271186440677966,0.5567699058729852,0.3715107964705297
dentex_v4_region_yolov8n_c2f_faster_lite_1280_quick_b16,1,Periapical_Lesion,0.6725391850574018,0.5764705882352941,0.6065021504077583,0.2570758385177651
dentex_v4_region_yolov8n_c2f_faster_lite_1280_quick_b16,2,Impacted,0.6231688029488082,0.7741935483870968,0.7626266413194326,0.5461171774999506
