experiment,weights,imgsz,conf,iou,precision,recall,mAP50,mAP50-95,params,GFLOPs,model_size_MB,speed_preprocess,speed_inference,speed_postprocess
dentex_v4_region_yolov8n_1280_quick_b16,/root/autodl-tmp/work/yolov8-train/runs/detect/dentex_v4_region_quick/dentex_v4_region_yolov8n_1280_quick_b16_20260523_133553_c3aa1ce/weights/best.pt,1280,0.001,0.7,0.5691359561195717,0.6614674256799494,0.6478689038331351,0.38593844769174285,3006233,32.3493888,6.021341323852539,1.2197806958168274,1.5675383309523263,0.41125425034099156
dentex_v4_region_yolov8n_c2f_faster_lite_1280_quick_b16,/root/autodl-tmp/work/yolov8-train/runs/detect/dentex_v4_region_c2f_faster_lite_quick/dentex_v4_region_yolov8n_c2f_faster_lite_1280_quick_b16_20260523_195100_42a8c17/weights/best.pt,1280,0.001,0.7,0.5928337848977376,0.6592609268967291,0.6419662325333921,0.3915679374960818,2602073,29.7639936,5.250101089477539,1.1182866754039886,1.0337296814199477,0.37662216595241005
